uid	C	h	|S|
42231175	2.69881	0.777876	9
88140118	5.02374	0.469917	417
240541399	0.555967	0.506513	2
28486708	0.760214	0.745813	2
14228300	0.778781	0.69049	2
14545046	0.60471	0.550608	2
59908663	2.46915	0.540492	40
31123364	0.645561	0.603575	2
33014475	0.974838	0.497176	3
163009920	1.37487	0.610625	4
182982341	2.79109	0.435344	103
108823074	3.84853	0.824712	35
21990854	0.557718	0.320068	2
57158969	1.87476	0.568835	6
25447492	4.0555	0.750826	32
107548401	0.552851	0.25127	3
43635444	5.74228	0.734942	104
72515978	0.578892	0.491997	2
34434801	0.638544	0.446476	2
12522	2.16059	0.7594	6
158980067	0.347994	0.264044	2
63290903	3.22813	0.457965	46
165245544	0.557135	0.384736	2
76667648	0.716883	0.592136	2
46499643	0.827875	0.41418	3
24636191	0.989175	0.39885	4
18637420	4.73643	0.528494	81
169245808	0.564093	0.377207	2
18436433	5.28651	0.70006	151
15074370	0.87032	0.855999	2
21182196	-0.0	0.743195	1
235439150	3.74511	0.755201	17
198590293	0.792215	0.547447	2
22018221	4.00515	0.765033	21
134141151	1.42679	0.588592	4
269734168	0.808911	0.695848	2
177506008	0.56467	0.491918	2
23135992	0.851623	0.840168	2
62816181	3.6635	0.426533	42
197255782	3.24835	0.427519	190
16462209	0.538169	0.46632	2
14985117	0.433368	0.367776	2
58929178	2.21153	0.481215	38
23469093	0.547135	0.427354	2
23031702	1.12393	0.436501	6
63192289	0.267867	0.187371	2
15081182	0.610585	0.566911	2
72583861	0.613235	0.538871	2
90854372	0.805628	0.399847	3
186791742	0.591123	0.457687	2
200230533	3.7399	0.318437	27
92356909	0.753166	0.702034	2
1750241	2.89733	0.536023	99
16818880	0.686673	0.54793	2
228397622	0.533332	0.420568	2
15762258	1.37962	0.640042	4
92927188	1.02348	0.423655	5
17083396	2.37876	0.684507	11
227162392	5.9337	0.708988	222
110545906	0.715591	0.702813	2
14870168	1.40521	0.456219	6
15106068	0.451642	0.329482	2
23008116	0.672712	0.639133	2
15585410	4.12426	0.481554	109
263159094	2.35421	0.58884	7
70199201	3.10364	0.439078	23
16561212	0.533939	0.522251	2
151690856	0.793131	0.494417	5
62846638	0.669396	0.521352	2
39362638	0.457159	0.31148	2
139960419	1.08679	0.830667	3
5660312	4.023	0.520594	216
26780801	0.635001	0.5274	2
106283898	1.39346	0.603015	5
18627463	-0.0	0.446587	1
23500913	0.829607	0.791634	2
215279991	6.36141	0.838706	188
5489202	1.26396	0.705988	4
91106767	-0.0	0.866505	1
111047938	4.30426	0.535072	183
14218186	0.686214	0.645792	2
76456492	0.623642	0.549453	2
18343178	0.493833	0.462767	2
55648693	0.693506	0.583104	2
17925141	4.38967	0.543919	95
8757362	1.83759	0.660617	5
38976017	0.846579	0.83443	2
57081867	0.692601	0.638426	2
18429289	1.67647	0.607209	5
135399738	0.16911	0.0733767	2
13028322	0.684835	0.668268	2
20938935	2.87647	0.46896	101
15239123	0.421129	0.354601	2
14661957	0.62319	0.568802	2
37420083	2.81841	0.52283	15
36563254	1.12195	0.50979	4
68807455	1.05531	0.566929	3
117604712	1.8618	0.710596	21
216258042	0.498992	0.350106	2
119946793	0.796507	0.387663	3
10876852	0.888144	0.871665	2
190229279	0.446774	0.303239	2
790000	1.00606	0.441522	4
116108369	7.21511	0.624068	369
151084354	1.61174	0.377685	14
14951992	5.20743	0.740094	100
65293006	3.08454	0.558354	86
17591742	0.583927	0.537397	2
156693720	1.38791	0.484599	5
137679779	1.08755	0.84759	3
13807132	0.582253	0.50141	2
114235871	0.604172	0.550956	2
11606702	0.551862	0.491316	2
19993686	0.660769	0.606365	2
15135214	1.32603	0.578368	4
20858400	0.499634	0.424522	2
226011338	0.989108	0.416647	4
149612671	0.417483	0.279237	2
26539097	1.66642	0.461689	4
14742479	1.51338	0.73176	4
91191989	0.768077	0.187113	18
23401174	2.76848	0.4605	40
14612263	0.781361	0.692749	2
51908250	0.847476	0.822876	2
14923682	0.873842	0.4539	3
38580030	0.245054	0.218844	2
16294267	3.68081	0.588109	18
8935052	1.31387	0.567863	5
27702107	5.0475	0.412514	72
14384696	4.20265	0.465516	112
14321959	1.67209	0.580404	5
14217862	0.561783	0.438234	2
15409034	0.922519	0.674218	3
36832842	5.06911	0.375946	117
15819292	0.944697	0.484174	3
27908385	2.10228	0.424673	49
190969275	0.326398	0.259961	2
608473	0.70995	0.683341	2
93396189	2.24863	0.597155	5
156296440	0.635001	0.449234	2
83943195	0.859214	0.615869	3
170061178	0.538771	0.495181	2
19374805	1.60675	0.565324	6
27109378	6.34807	0.551567	253
35671638	2.09271	0.59987	34
108083117	1.35071	0.593261	5
210014700	4.91499	0.312378	223
16616272	3.00303	0.269296	51
144231655	0.7082	0.66116	2
90971235	5.53661	0.595956	164
11063312	2.43025	0.637113	34
42202168	2.773	0.457417	122
2900	4.19079	0.732659	71
109150601	1.39879	0.499716	5
11435642	1.8125	0.65512	7
23777198	4.04804	0.862572	27
14835646	0.490587	0.392684	2
19721592	0.721162	0.705044	2
16313592	0.754349	0.742304	2
39897996	3.72567	0.372605	64
232682267	3.08922	0.647619	17
17179368	0.646556	0.579009	2
169722743	0.229315	0.165139	2
21575880	0.727925	0.631683	2
15365998	5.02488	0.680878	213
1774081	1.59099	0.356241	26
15891536	2.36981	0.465564	36
129935970	0.553625	0.541171	2
141418796	0.669871	0.633304	2
78924375	-0.0	0.602574	1
239976874	0.446075	0.389893	2
18754728	-0.0	0.824058	1
238602830	3.77668	0.517586	195
16237734	1.1345	0.616392	3
25373949	0.568687	0.53338	2
250983856	0.411607	0.364128	2
18611056	5.57835	0.430621	288
23148563	1.58957	0.241759	39
15292471	1.39816	0.605522	7
117626824	3.51665	0.427849	186
26089676	1.79923	0.660299	5
203871835	0.867024	0.850111	2
103133559	0.497062	0.36356	2
93100491	3.29194	0.384949	165
70062275	4.3702	0.6995	37
30404850	0.407163	0.31332	2
180595146	0.524773	0.396667	2
162557157	-0.0	0.893592	1
